Parameters Labels,Par_0,Wavelength0,Exp_0,,,
Scanner X,0.0000000E+0,0.0000000E+0,1.0000000E+0,,,
Scanner Y,0.0000000E+0,4.0003242E-3,8.0000000E+0,,,
Excitation Power,4.9316888E-9,8.0006484E-3,6.0000000E+0,,,
V_A,2.5733750E-6,1.2000973E-2,9.0000000E+0,,,
I_A,-3.4379630E-12,1.6001297E-2,3.0000000E+0,,,
V_B,1.5972050E-6,2.0001621E-2,4.0000000E+0,,,
I_B,3.3878800E-13,2.4001945E-2,4.0000000E+0,,,
PD_V,1.0512639E+1,2.8002270E-2,3.0000000E+0,,,
T,-1.0000000E+0,3.2002594E-2,6.0000000E+0,,,
SR865_R,-1.0000000E+0,3.6002918E-2,1.0000000E+1,,,
SR865_T,-1.0000000E+0,4.0003242E-2,9.0000000E+0,,,
SR865_AUX4,-1.0000000E+0,4.4003566E-2,5.0000000E+0,,,
Fianium_Varia_Central_Wavelength,8.0000000E+2,4.8003891E-2,5.0000000E+0,,,
Fianium_Varia_Bandwidth,1.0000000E+1,5.2004215E-2,4.0000000E+0,,,
Fianium_Laser_Power,9.0000000E+1,5.6004539E-2,4.0000000E+0,,,
Fianium_Varia_ND,0.0000000E+0,6.0004863E-2,6.0000000E+0,,,
NKT - Pulse Picker Ratio,1.0000000E+0,6.4005188E-2,5.0000000E+0,,,
Fianium_Select_W0,-1.0000000E+0,6.8005512E-2,6.0000000E+0,,,
Fianium_Select_W1,-1.0000000E+0,7.2005836E-2,1.2000000E+1,,,
Fianium_Select_W2,-1.0000000E+0,7.6006160E-2,5.0000000E+0,,,
Fianium_Select_W3,-1.0000000E+0,8.0006484E-2,4.0000000E+0,,,
Fianium_Select_W4,-1.0000000E+0,8.4006809E-2,6.0000000E+0,,,
Fianium_Select_W5,-1.0000000E+0,8.8007133E-2,7.0000000E+0,,,
Fianium_Select_W6,-1.0000000E+0,9.2007457E-2,3.0000000E+0,,,
