Parameters Labels,Par_0,Wavelength0,Exp_0,,,
Scanner X,0.0000000E+0,0.0000000E+0,0.0000000E+0,,,
Scanner Y,0.0000000E+0,4.0003283E-3,0.0000000E+0,,,
Excitation Power,4.8740470E-4,8.0006567E-3,0.0000000E+0,,,
V_A,-1.6799720E+0,1.2000985E-2,0.0000000E+0,,,
I_A,-1.2311340E-10,1.6001313E-2,0.0000000E+0,,,
V_B,9.9999170E-1,2.0001642E-2,2.0000000E+0,,,
I_B,1.3765140E-10,2.4001970E-2,0.0000000E+0,,,
PD_V,1.0512639E+1,2.8002298E-2,0.0000000E+0,,,
T,-1.0000000E+0,3.2002627E-2,0.0000000E+0,,,
SR865_R,-1.0000000E+0,3.6002955E-2,0.0000000E+0,,,
SR865_T,-1.0000000E+0,4.0003283E-2,1.0000000E+0,,,
SR865_AUX4,-1.0000000E+0,4.4003612E-2,0.0000000E+0,,,
Fianium_Varia_Central_Wavelength,7.3000000E+2,4.8003940E-2,0.0000000E+0,,,
Fianium_Varia_Bandwidth,1.0000000E+1,5.2004268E-2,3.0000000E+0,,,
Fianium_Laser_Power,9.0000000E+1,5.6004597E-2,1.0000000E+0,,,
Fianium_Varia_ND,0.0000000E+0,6.0004925E-2,1.0000000E+0,,,
NKT - Pulse Picker Ratio,1.0000000E+0,6.4005253E-2,0.0000000E+0,,,
Fianium_Select_W0,-1.0000000E+0,6.8005582E-2,0.0000000E+0,,,
Fianium_Select_W1,-1.0000000E+0,7.2005910E-2,0.0000000E+0,,,
Fianium_Select_W2,-1.0000000E+0,7.6006238E-2,1.0000000E+0,,,
Fianium_Select_W3,-1.0000000E+0,8.0006567E-2,0.0000000E+0,,,
Fianium_Select_W4,-1.0000000E+0,8.4006895E-2,0.0000000E+0,,,
Fianium_Select_W5,-1.0000000E+0,8.8007223E-2,0.0000000E+0,,,
Fianium_Select_W6,-1.0000000E+0,9.2007552E-2,0.0000000E+0,,,
Fianium_Select_W7,-1.0000000E+0,9.6007880E-2,1.0000000E+0,,,
Fianium_Select_A0,-1.0000000E+0,1.0000821E-1,0.0000000E+0,,,
Fianium_Select_A1,-1.0000000E+0,1.0400854E-1,2.0000000E+0,,,
Fianium_Select_A2,-1.0000000E+0,1.0800886E-1,0.0000000E+0,,,
Fianium_Select_A3,-1.0000000E+0,1.1200919E-1,0.0000000E+0,,,
Fianium_Select_A4,9.3000000E+4,1.1600952E-1,0.0000000E+0,,,
Fianium_Select_A5,7.7996720E+7,1.2000985E-1,0.0000000E+0,,,
Fianium_Select_A6,1.3000000E+2,1.2401018E-1,1.0000000E+0,,,
Fianium_Select_A7,1.0045000E+1,1.2801051E-1,0.0000000E+0,,,
33600A_Ch1_Vpp,-1.0000000E+0,1.3201083E-1,0.0000000E+0,,,
33600A_Ch1_Vdc,-1.0000000E+0,1.3601116E-1,1.0000000E+0,,,
33600A_Ch1_freq,-1.0000000E+0,1.4001149E-1,0.0000000E+0,,,
33600A_Ch2_Vpp,-1.0000000E+0,1.4401182E-1,0.0000000E+0,,,
33600A_Ch2_Vdc,-1.0000000E+0,1.4801215E-1,0.0000000E+0,,,
33600A_Ch2_freq,0.0000000E+0,1.5201248E-1,1.0000000E+0,,,
PG1072_V_High,0.0000000E+0,1.5601280E-1,0.0000000E+0,,,
PG1072_V_Low,0.0000000E+0,1.6001313E-1,0.0000000E+0,,,
PG1072_PulseWidth,0.0000000E+0,1.6401346E-1,0.0000000E+0,,,
PG1072_PulseDelay,0.0000000E+0,1.6801379E-1,1.0000000E+0,,,
PG1072_Frequency,0.0000000E+0,1.7201412E-1,0.0000000E+0,,,
Galvo_X,0.0000000E+0,1.7601445E-1,1.0000000E+0,,,
Galvo_Y,0.0000000E+0,1.8001477E-1,1.0000000E+0,,,
TCML - Actual Position,0.0000000E+0,1.8401510E-1,0.0000000E+0,,,
Picoharp - RepRate,0.0000000E+0,1.8801543E-1,0.0000000E+0,,,
Picoharp - Counts,0.0000000E+0,1.9201576E-1,0.0000000E+0,,,
Picoharp - Actual Measurement Time,0.0000000E+0,1.9601609E-1,0.0000000E+0,,,
Solstis - Target Wavelength,0.0000000E+0,2.0001642E-1,0.0000000E+0,,,
Solstis - Actual Wavelength from Wavemeter,0.0000000E+0,2.0401674E-1,0.0000000E+0,,,
Rotation Axis - Value,0.0000000E+0,2.0801707E-1,0.0000000E+0,,,
ZI Vpp1,0.0000000E+0,2.1201740E-1,0.0000000E+0,,,
ZI Voff1,0.0000000E+0,2.1601773E-1,0.0000000E+0,,,
ZI Vpp2,0.0000000E+0,2.2001806E-1,0.0000000E+0,,,
ZI Voff2,0.0000000E+0,2.2401839E-1,0.0000000E+0,,,
,0.0000000E+0,2.2801871E-1,0.0000000E+0,,,
,0.0000000E+0,2.3201904E-1,0.0000000E+0,,,
,0.0000000E+0,2.3601937E-1,0.0000000E+0,,,
,0.0000000E+0,2.4001970E-1,0.0000000E+0,,,
,0.0000000E+0,2.4402003E-1,0.0000000E+0,,,
,0.0000000E+0,2.4802036E-1,0.0000000E+0,,,
,0.0000000E+0,2.5202068E-1,1.0000000E+0,,,
,0.0000000E+0,2.5602101E-1,0.0000000E+0,,,
,0.0000000E+0,2.6002134E-1,1.0000000E+0,,,
,0.0000000E+0,2.6402167E-1,0.0000000E+0,,,
,0.0000000E+0,2.6802200E-1,0.0000000E+0,,,
,0.0000000E+0,2.7202233E-1,0.0000000E+0,,,
,0.0000000E+0,2.7602265E-1,1.0000000E+0,,,
,0.0000000E+0,2.8002298E-1,1.0000000E+0,,,
,0.0000000E+0,2.8402331E-1,0.0000000E+0,,,
,0.0000000E+0,2.8802364E-1,0.0000000E+0,,,
,0.0000000E+0,2.9202397E-1,0.0000000E+0,,,
,0.0000000E+0,2.9602430E-1,0.0000000E+0,,,
,0.0000000E+0,3.0002462E-1,1.0000000E+0,,,
,0.0000000E+0,3.0402495E-1,0.0000000E+0,,,
,0.0000000E+0,3.0802528E-1,1.0000000E+0,,,
,0.0000000E+0,3.1202561E-1,1.0000000E+0,,,
,0.0000000E+0,3.1602594E-1,0.0000000E+0,,,
,0.0000000E+0,3.2002627E-1,0.0000000E+0,,,
,0.0000000E+0,3.2402659E-1,0.0000000E+0,,,
,0.0000000E+0,3.2802692E-1,0.0000000E+0,,,
,0.0000000E+0,3.3202725E-1,0.0000000E+0,,,
,0.0000000E+0,3.3602758E-1,1.0000000E+0,,,
,0.0000000E+0,3.4002791E-1,0.0000000E+0,,,
,0.0000000E+0,3.4402824E-1,0.0000000E+0,,,
,0.0000000E+0,3.4802856E-1,1.0000000E+0,,,
,0.0000000E+0,3.5202889E-1,1.0000000E+0,,,
,0.0000000E+0,3.5602922E-1,0.0000000E+0,,,
,0.0000000E+0,3.6002955E-1,0.0000000E+0,,,
,0.0000000E+0,3.6402988E-1,0.0000000E+0,,,
,0.0000000E+0,3.6803021E-1,1.0000000E+0,,,
,0.0000000E+0,3.7203053E-1,0.0000000E+0,,,
,0.0000000E+0,3.7603086E-1,0.0000000E+0,,,
,0.0000000E+0,3.8003119E-1,0.0000000E+0,,,
,0.0000000E+0,3.8403152E-1,0.0000000E+0,,,
,0.0000000E+0,3.8803185E-1,0.0000000E+0,,,
,0.0000000E+0,3.9203218E-1,0.0000000E+0,,,
,0.0000000E+0,3.9603250E-1,0.0000000E+0,,,
,0.0000000E+0,4.0003283E-1,1.0000000E+0,,,
,0.0000000E+0,4.0403316E-1,0.0000000E+0,,,
,0.0000000E+0,4.0803349E-1,0.0000000E+0,,,
,0.0000000E+0,4.1203382E-1,0.0000000E+0,,,
,0.0000000E+0,4.1603415E-1,0.0000000E+0,,,
,0.0000000E+0,4.2003447E-1,0.0000000E+0,,,
,0.0000000E+0,4.2403480E-1,0.0000000E+0,,,
,0.0000000E+0,4.2803513E-1,0.0000000E+0,,,
,0.0000000E+0,4.3203546E-1,0.0000000E+0,,,
,0.0000000E+0,4.3603579E-1,0.0000000E+0,,,
,0.0000000E+0,4.4003612E-1,0.0000000E+0,,,
,0.0000000E+0,4.4403644E-1,0.0000000E+0,,,
,0.0000000E+0,4.4803677E-1,0.0000000E+0,,,
,0.0000000E+0,4.5203710E-1,0.0000000E+0,,,
,0.0000000E+0,4.5603743E-1,0.0000000E+0,,,
,0.0000000E+0,4.6003776E-1,0.0000000E+0,,,
,0.0000000E+0,4.6403809E-1,0.0000000E+0,,,
,0.0000000E+0,4.6803841E-1,0.0000000E+0,,,
,0.0000000E+0,4.7203874E-1,0.0000000E+0,,,
,0.0000000E+0,4.7603907E-1,0.0000000E+0,,,
,0.0000000E+0,4.8003940E-1,0.0000000E+0,,,
,0.0000000E+0,4.8403973E-1,0.0000000E+0,,,
,0.0000000E+0,4.8804006E-1,0.0000000E+0,,,
