Parameters Labels,Par_0,Wavelength0,ExpROI1_0,ExpROI2_0,Par_1,Wavelength1,ExpROI1_1,ExpROI2_1,Par_2,Wavelength2,ExpROI1_2,ExpROI2_2,,,,,,,,,,,,
Scanner X,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,,,,,,,,,,,,
Scanner Y,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,,,,,,,,,,,,
Excitation Power,4.8766000E-4,0.0000000E+0,0.0000000E+0,0.0000000E+0,4.8740470E-4,0.0000000E+0,0.0000000E+0,0.0000000E+0,4.8749757E-4,0.0000000E+0,0.0000000E+0,0.0000000E+0,,,,,,,,,,,,
V_A,1.6799730E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,2.1362760E-6,0.0000000E+0,0.0000000E+0,0.0000000E+0,-1.6799720E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,,,,,,,,,,,,
I_A,9.7600050E-11,0.0000000E+0,0.0000000E+0,0.0000000E+0,-1.9632190E-11,0.0000000E+0,0.0000000E+0,0.0000000E+0,-1.2135870E-10,0.0000000E+0,0.0000000E+0,0.0000000E+0,,,,,,,,,,,,
V_B,-9.9998860E-1,0.0000000E+0,0.0000000E+0,0.0000000E+0,2.6026920E-6,0.0000000E+0,0.0000000E+0,0.0000000E+0,9.9999200E-1,0.0000000E+0,0.0000000E+0,0.0000000E+0,,,,,,,,,,,,
I_B,-1.2110400E-10,0.0000000E+0,0.0000000E+0,0.0000000E+0,1.4491370E-11,0.0000000E+0,0.0000000E+0,0.0000000E+0,1.3498850E-10,0.0000000E+0,0.0000000E+0,0.0000000E+0,,,,,,,,,,,,
PD_V,1.0512639E+1,0.0000000E+0,0.0000000E+0,0.0000000E+0,1.0512639E+1,0.0000000E+0,0.0000000E+0,0.0000000E+0,1.0512639E+1,0.0000000E+0,0.0000000E+0,0.0000000E+0,,,,,,,,,,,,
T,-1.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,-1.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,-1.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,,,,,,,,,,,,
SR865_R,-1.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,-1.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,-1.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,,,,,,,,,,,,
SR865_T,-1.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,-1.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,-1.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,,,,,,,,,,,,
SR865_AUX4,-1.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,-1.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,-1.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,,,,,,,,,,,,
Fianium_Varia_Central_Wavelength,7.3000000E+2,0.0000000E+0,0.0000000E+0,0.0000000E+0,7.3000000E+2,0.0000000E+0,0.0000000E+0,0.0000000E+0,7.3000000E+2,0.0000000E+0,0.0000000E+0,0.0000000E+0,,,,,,,,,,,,
