Parameters Labels,Par_0,Wavelength0,Exp_0,,,
Scanner X,0.0000000E+0,0.0000000E+0,0.0000000E+0,,,
Scanner Y,0.0000000E+0,4.0003324E-3,6.0000000E+0,,,
Excitation Power,4.8712621E-4,8.0006649E-3,3.0000000E+0,,,
V_A,2.7170140E-6,1.2000997E-2,0.0000000E+0,,,
I_A,-1.6166410E-13,1.6001330E-2,6.0000000E+0,,,
V_B,1.5382880E-6,2.0001662E-2,5.0000000E+0,,,
I_B,5.8272660E-13,2.4001995E-2,3.0000000E+0,,,
PD_V,1.0512639E+1,2.8002327E-2,1.3000000E+1,,,
T,-1.0000000E+0,3.2002659E-2,8.0000000E+0,,,
SR865_R,-1.0000000E+0,3.6002992E-2,7.0000000E+0,,,
SR865_T,-1.0000000E+0,4.0003324E-2,6.0000000E+0,,,
SR865_AUX4,-1.0000000E+0,4.4003657E-2,7.0000000E+0,,,
Fianium_Varia_Central_Wavelength,7.3000000E+2,4.8003989E-2,7.0000000E+0,,,
Fianium_Varia_Bandwidth,1.0000000E+1,5.2004322E-2,1.1000000E+1,,,
Fianium_Laser_Power,9.0000000E+1,5.6004654E-2,1.1000000E+1,,,
Fianium_Varia_ND,0.0000000E+0,6.0004986E-2,8.0000000E+0,,,
NKT - Pulse Picker Ratio,1.0000000E+0,6.4005319E-2,4.0000000E+0,,,
Fianium_Select_W0,-1.0000000E+0,6.8005651E-2,5.0000000E+0,,,
Fianium_Select_W1,-1.0000000E+0,7.2005984E-2,1.0000000E+1,,,
Fianium_Select_W2,-1.0000000E+0,7.6006316E-2,1.1000000E+1,,,
Fianium_Select_W3,-1.0000000E+0,8.0006649E-2,3.0000000E+0,,,
Fianium_Select_W4,-1.0000000E+0,8.4006981E-2,3.0000000E+0,,,
Fianium_Select_W5,-1.0000000E+0,8.8007314E-2,7.0000000E+0,,,
Fianium_Select_W6,-1.0000000E+0,9.2007646E-2,9.0000000E+0,,,
Fianium_Select_W7,-1.0000000E+0,9.6007978E-2,5.0000000E+0,,,
Fianium_Select_A0,-1.0000000E+0,1.0000831E-1,1.0000000E+1,,,
Fianium_Select_A1,-1.0000000E+0,1.0400864E-1,6.0000000E+0,,,
Fianium_Select_A2,-1.0000000E+0,1.0800898E-1,8.0000000E+0,,,
Fianium_Select_A3,-1.0000000E+0,1.1200931E-1,7.0000000E+0,,,
Fianium_Select_A4,9.3000000E+4,1.1600964E-1,4.0000000E+0,,,
Fianium_Select_A5,7.7996720E+7,1.2000997E-1,6.0000000E+0,,,
Fianium_Select_A6,2.1000000E+2,1.2401031E-1,6.0000000E+0,,,
Fianium_Select_A7,3.0002000E+2,1.2801064E-1,8.0000000E+0,,,
33600A_Ch1_Vpp,-1.0000000E+0,1.3201097E-1,1.0000000E+1,,,
33600A_Ch1_Vdc,-1.0000000E+0,1.3601130E-1,8.0000000E+0,,,
33600A_Ch1_freq,-1.0000000E+0,1.4001164E-1,9.0000000E+0,,,
33600A_Ch2_Vpp,-1.0000000E+0,1.4401197E-1,9.0000000E+0,,,
33600A_Ch2_Vdc,-1.0000000E+0,1.4801230E-1,1.0000000E+1,,,
33600A_Ch2_freq,0.0000000E+0,1.5201263E-1,7.0000000E+0,,,
PG1072_V_High,0.0000000E+0,1.5601296E-1,8.0000000E+0,,,
PG1072_V_Low,0.0000000E+0,1.6001330E-1,6.0000000E+0,,,
PG1072_PulseWidth,0.0000000E+0,1.6401363E-1,8.0000000E+0,,,
PG1072_PulseDelay,0.0000000E+0,1.6801396E-1,1.0000000E+1,,,
PG1072_Frequency,0.0000000E+0,1.7201429E-1,6.0000000E+0,,,
Galvo_X,0.0000000E+0,1.7601463E-1,6.0000000E+0,,,
Galvo_Y,0.0000000E+0,1.8001496E-1,8.0000000E+0,,,
TCML - Actual Position,0.0000000E+0,1.8401529E-1,4.0000000E+0,,,
Picoharp - RepRate,0.0000000E+0,1.8801562E-1,1.2000000E+1,,,
Picoharp - Counts,0.0000000E+0,1.9201596E-1,9.0000000E+0,,,
Picoharp - Actual Measurement Time,0.0000000E+0,1.9601629E-1,4.0000000E+0,,,
Solstis - Target Wavelength,0.0000000E+0,2.0001662E-1,7.0000000E+0,,,
Solstis - Actual Wavelength from Wavemeter,0.0000000E+0,2.0401695E-1,2.0000000E+0,,,
Rotation Axis - Value,0.0000000E+0,2.0801729E-1,4.0000000E+0,,,
ZI Vpp1,0.0000000E+0,2.1201762E-1,8.0000000E+0,,,
ZI Voff1,0.0000000E+0,2.1601795E-1,6.0000000E+0,,,
ZI Vpp2,0.0000000E+0,2.2001828E-1,2.0000000E+0,,,
ZI Voff2,0.0000000E+0,2.2401862E-1,5.0000000E+0,,,
,0.0000000E+0,2.2801895E-1,3.0000000E+0,,,
,0.0000000E+0,2.3201928E-1,5.0000000E+0,,,
,0.0000000E+0,2.3601961E-1,1.0000000E+1,,,
,0.0000000E+0,2.4001995E-1,9.0000000E+0,,,
,0.0000000E+0,2.4402028E-1,1.0000000E+0,,,
,0.0000000E+0,2.4802061E-1,1.0000000E+1,,,
,0.0000000E+0,2.5202094E-1,7.0000000E+0,,,
,0.0000000E+0,2.5602128E-1,3.0000000E+0,,,
,0.0000000E+0,2.6002161E-1,8.0000000E+0,,,
,0.0000000E+0,2.6402194E-1,1.1000000E+1,,,
,0.0000000E+0,2.6802227E-1,1.4000000E+1,,,
,0.0000000E+0,2.7202261E-1,6.0000000E+0,,,
,0.0000000E+0,2.7602294E-1,6.0000000E+0,,,
,0.0000000E+0,2.8002327E-1,4.0000000E+0,,,
,0.0000000E+0,2.8402360E-1,7.0000000E+0,,,
,0.0000000E+0,2.8802394E-1,4.0000000E+0,,,
,0.0000000E+0,2.9202427E-1,8.0000000E+0,,,
,0.0000000E+0,2.9602460E-1,6.0000000E+0,,,
,0.0000000E+0,3.0002493E-1,6.0000000E+0,,,
,0.0000000E+0,3.0402526E-1,6.0000000E+0,,,
,0.0000000E+0,3.0802560E-1,6.0000000E+0,,,
,0.0000000E+0,3.1202593E-1,1.2000000E+1,,,
,0.0000000E+0,3.1602626E-1,1.0000000E+1,,,
,0.0000000E+0,3.2002659E-1,9.0000000E+0,,,
,0.0000000E+0,3.2402693E-1,5.0000000E+0,,,
,0.0000000E+0,3.2802726E-1,6.0000000E+0,,,
,0.0000000E+0,3.3202759E-1,1.1000000E+1,,,
,0.0000000E+0,3.3602792E-1,8.0000000E+0,,,
,0.0000000E+0,3.4002826E-1,5.0000000E+0,,,
,0.0000000E+0,3.4402859E-1,7.0000000E+0,,,
,0.0000000E+0,3.4802892E-1,6.0000000E+0,,,
,0.0000000E+0,3.5202925E-1,3.0000000E+0,,,
,0.0000000E+0,3.5602959E-1,6.0000000E+0,,,
,0.0000000E+0,3.6002992E-1,5.0000000E+0,,,
,0.0000000E+0,3.6403025E-1,5.0000000E+0,,,
,0.0000000E+0,3.6803058E-1,3.0000000E+0,,,
,0.0000000E+0,3.7203092E-1,7.0000000E+0,,,
,0.0000000E+0,3.7603125E-1,1.2000000E+1,,,
,0.0000000E+0,3.8003158E-1,5.0000000E+0,,,
,0.0000000E+0,3.8403191E-1,7.0000000E+0,,,
,0.0000000E+0,3.8803225E-1,5.0000000E+0,,,
,0.0000000E+0,3.9203258E-1,2.0000000E+0,,,
,0.0000000E+0,3.9603291E-1,2.0000000E+0,,,
,0.0000000E+0,4.0003324E-1,6.0000000E+0,,,
,0.0000000E+0,4.0403358E-1,5.0000000E+0,,,
,0.0000000E+0,4.0803391E-1,4.0000000E+0,,,
,0.0000000E+0,4.1203424E-1,4.0000000E+0,,,
,0.0000000E+0,4.1603457E-1,1.1000000E+1,,,
,0.0000000E+0,4.2003491E-1,7.0000000E+0,,,
,0.0000000E+0,4.2403524E-1,3.0000000E+0,,,
,0.0000000E+0,4.2803557E-1,4.0000000E+0,,,
,0.0000000E+0,4.3203590E-1,9.0000000E+0,,,
,0.0000000E+0,4.3603624E-1,8.0000000E+0,,,
,0.0000000E+0,4.4003657E-1,8.0000000E+0,,,
,0.0000000E+0,4.4403690E-1,7.0000000E+0,,,
,0.0000000E+0,4.4803723E-1,5.0000000E+0,,,
,0.0000000E+0,4.5203756E-1,8.0000000E+0,,,
,0.0000000E+0,4.5603790E-1,4.0000000E+0,,,
,0.0000000E+0,4.6003823E-1,4.0000000E+0,,,
,0.0000000E+0,4.6403856E-1,5.0000000E+0,,,
,0.0000000E+0,4.6803889E-1,6.0000000E+0,,,
,0.0000000E+0,4.7203923E-1,1.2000000E+1,,,
,0.0000000E+0,4.7603956E-1,8.0000000E+0,,,
,0.0000000E+0,4.8003989E-1,1.0000000E+1,,,
,0.0000000E+0,4.8404022E-1,6.0000000E+0,,,
,0.0000000E+0,4.8804056E-1,9.0000000E+0,,,
,0.0000000E+0,4.9204089E-1,7.0000000E+0,,,
,0.0000000E+0,4.9604122E-1,8.0000000E+0,,,
,0.0000000E+0,5.0004155E-1,2.0000000E+0,,,
,0.0000000E+0,5.0404189E-1,8.0000000E+0,,,
,0.0000000E+0,5.0804222E-1,6.0000000E+0,,,
,0.0000000E+0,5.1204255E-1,6.0000000E+0,,,
,0.0000000E+0,5.1604288E-1,3.0000000E+0,,,
,0.0000000E+0,5.2004322E-1,7.0000000E+0,,,
,0.0000000E+0,5.2404355E-1,4.0000000E+0,,,
,0.0000000E+0,5.2804388E-1,9.0000000E+0,,,
,0.0000000E+0,5.3204421E-1,7.0000000E+0,,,
,0.0000000E+0,5.3604455E-1,5.0000000E+0,,,
