Parameters Labels,Par_0,Wavelength0,ExpROI1_0,ExpROI2_0,Par_1,Wavelength1,ExpROI1_1,ExpROI2_1,Par_2,Wavelength2,ExpROI1_2,ExpROI2_2,Par_3,Wavelength3,ExpROI1_3,ExpROI2_3,Par_4,Wavelength4,ExpROI1_4,ExpROI2_4,Par_5,Wavelength5,ExpROI1_5,ExpROI2_5,Par_6,Wavelength6,ExpROI1_6,ExpROI2_6,Par_7,Wavelength7,ExpROI1_7,ExpROI2_7,Par_8,Wavelength8,ExpROI1_8,ExpROI2_8,Par_9,Wavelength9,ExpROI1_9,ExpROI2_9,Par_10,Wavelength10,ExpROI1_10,ExpROI2_10,Par_11,Wavelength11,ExpROI1_11,ExpROI2_11,Par_12,Wavelength12,ExpROI1_12,ExpROI2_12,Par_13,Wavelength13,ExpROI1_13,ExpROI2_13,Par_14,Wavelength14,ExpROI1_14,ExpROI2_14,Par_15,Wavelength15,ExpROI1_15,ExpROI2_15,Par_16,Wavelength16,ExpROI1_16,ExpROI2_16,Par_17,Wavelength17,ExpROI1_17,ExpROI2_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scanner X,0.0000000E+0,7.0727599E+2,6.1300000E+2,0.0000000E+0,0.0000000E+0,7.0727599E+2,6.1200000E+2,0.0000000E+0,0.0000000E+0,7.0727599E+2,6.1300000E+2,0.0000000E+0,0.0000000E+0,7.0727599E+2,6.1200000E+2,0.0000000E+0,0.0000000E+0,7.0727599E+2,6.1300000E+2,0.0000000E+0,0.0000000E+0,7.0727599E+2,6.1300000E+2,0.0000000E+0,0.0000000E+0,7.0727599E+2,6.1300000E+2,0.0000000E+0,0.0000000E+0,7.0727599E+2,6.1400000E+2,0.0000000E+0,0.0000000E+0,7.0727599E+2,6.1300000E+2,0.0000000E+0,0.0000000E+0,7.0727599E+2,6.1400000E+2,0.0000000E+0,0.0000000E+0,7.0727599E+2,6.1400000E+2,0.0000000E+0,0.0000000E+0,7.0727599E+2,6.1300000E+2,0.0000000E+0,0.0000000E+0,7.0727599E+2,6.1300000E+2,0.0000000E+0,0.0000000E+0,7.0727599E+2,6.1300000E+2,0.0000000E+0,0.0000000E+0,7.0727599E+2,6.1400000E+2,0.0000000E+0,0.0000000E+0,7.0727599E+2,6.1400000E+2,0.0000000E+0,0.0000000E+0,7.0727599E+2,6.1400000E+2,0.0000000E+0,0.0000000E+0,7.0727599E+2,6.1400000E+2,0.0000000E+0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scanner Y,0.0000000E+0,7.0737070E+2,6.1400000E+2,0.0000000E+0,0.0000000E+0,7.0737070E+2,6.1300000E+2,0.0000000E+0,0.0000000E+0,7.0737070E+2,6.1400000E+2,0.0000000E+0,0.0000000E+0,7.0737070E+2,6.1200000E+2,0.0000000E+0,0.0000000E+0,7.0737070E+2,6.1300000E+2,0.0000000E+0,0.0000000E+0,7.0737070E+2,6.1200000E+2,0.0000000E+0,0.0000000E+0,7.0737070E+2,6.1400000E+2,0.0000000E+0,0.0000000E+0,7.0737070E+2,6.1300000E+2,0.0000000E+0,0.0000000E+0,7.0737070E+2,6.1300000E+2,0.0000000E+0,0.0000000E+0,7.0737070E+2,6.1400000E+2,0.0000000E+0,0.0000000E+0,7.0737070E+2,6.1400000E+2,0.0000000E+0,0.0000000E+0,7.0737070E+2,6.1400000E+2,0.0000000E+0,0.0000000E+0,7.0737070E+2,6.1300000E+2,0.0000000E+0,0.0000000E+0,7.0737070E+2,6.1400000E+2,0.0000000E+0,0.0000000E+0,7.0737070E+2,6.1500000E+2,0.0000000E+0,0.0000000E+0,7.0737070E+2,6.1400000E+2,0.0000000E+0,0.0000000E+0,7.0737070E+2,6.1400000E+2,0.0000000E+0,0.0000000E+0,7.0737070E+2,6.1300000E+2,0.0000000E+0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excitation Power,2.0328222E-5,7.0746541E+2,6.1200000E+2,0.0000000E+0,2.4366151E-5,7.0746541E+2,6.1200000E+2,0.0000000E+0,2.8591365E-5,7.0746541E+2,6.1300000E+2,0.0000000E+0,3.3266075E-5,7.0746541E+2,6.1400000E+2,0.0000000E+0,3.8199240E-5,7.0746541E+2,6.1400000E+2,0.0000000E+0,4.2862710E-5,7.0746541E+2,6.1500000E+2,0.0000000E+0,4.9013241E-5,7.0746541E+2,6.1300000E+2,0.0000000E+0,5.6137680E-5,7.0746541E+2,6.1400000E+2,0.0000000E+0,6.4565633E-5,7.0746541E+2,6.1400000E+2,0.0000000E+0,7.4780313E-5,7.0746541E+2,6.1300000E+2,0.0000000E+0,8.7422253E-5,7.0746541E+2,6.1300000E+2,0.0000000E+0,1.0269745E-4,7.0746541E+2,6.1300000E+2,0.0000000E+0,1.1975564E-4,7.0746541E+2,6.1300000E+2,0.0000000E+0,1.4144358E-4,7.0746541E+2,6.1200000E+2,0.0000000E+0,1.6558125E-4,7.0746541E+2,6.1300000E+2,0.0000000E+0,1.9194277E-4,7.0746541E+2,6.1300000E+2,0.0000000E+0,2.2749747E-4,7.0746541E+2,6.1400000E+2,0.0000000E+0,2.6320247E-4,7.0746541E+2,6.1300000E+2,0.0000000E+0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V_A,2.2906350E-6,7.0756011E+2,6.1300000E+2,0.0000000E+0,1.9951690E-6,7.0756011E+2,6.1200000E+2,0.0000000E+0,1.6169540E-6,7.0756011E+2,6.1400000E+2,0.0000000E+0,1.8297000E-6,7.0756011E+2,6.1400000E+2,0.0000000E+0,2.5152290E-6,7.0756011E+2,6.1300000E+2,0.0000000E+0,2.2315690E-6,7.0756011E+2,6.1300000E+2,0.0000000E+0,2.5034170E-6,7.0756011E+2,6.1200000E+2,0.0000000E+0,1.3214780E-6,7.0756011E+2,6.1400000E+2,0.0000000E+0,1.5460500E-6,7.0756011E+2,6.1400000E+2,0.0000000E+0,2.4088770E-6,7.0756011E+2,6.1300000E+2,0.0000000E+0,2.6452440E-6,7.0756011E+2,6.1400000E+2,0.0000000E+0,2.6098130E-6,7.0756011E+2,6.1300000E+2,0.0000000E+0,2.4561560E-6,7.0756011E+2,6.1300000E+2,0.0000000E+0,2.3734170E-6,7.0756011E+2,6.1400000E+2,0.0000000E+0,2.1724990E-6,7.0756011E+2,6.1400000E+2,0.0000000E+0,1.8533790E-6,7.0756011E+2,6.1300000E+2,0.0000000E+0,1.9124850E-6,7.0756011E+2,6.1500000E+2,0.0000000E+0,2.2670570E-6,7.0756011E+2,6.1400000E+2,0.0000000E+0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I_A,-1.9160680E-12,7.0765482E+2,6.1200000E+2,0.0000000E+0,-2.5959180E-12,7.0765482E+2,6.1300000E+2,0.0000000E+0,-2.2589070E-12,7.0765482E+2,6.1400000E+2,0.0000000E+0,-2.5261980E-12,7.0765482E+2,6.1300000E+2,0.0000000E+0,-2.1252670E-12,7.0765482E+2,6.1300000E+2,0.0000000E+0,-1.9974300E-12,7.0765482E+2,6.1300000E+2,0.0000000E+0,-1.8753850E-12,7.0765482E+2,6.1400000E+2,0.0000000E+0,-1.6487890E-12,7.0765482E+2,6.1300000E+2,0.0000000E+0,-2.0322910E-12,7.0765482E+2,6.1200000E+2,0.0000000E+0,-1.8521660E-12,7.0765482E+2,6.1300000E+2,0.0000000E+0,-2.5901280E-12,7.0765482E+2,6.1300000E+2,0.0000000E+0,-2.4855360E-12,7.0765482E+2,6.1300000E+2,0.0000000E+0,-2.1078520E-12,7.0765482E+2,6.1400000E+2,0.0000000E+0,-2.3170270E-12,7.0765482E+2,6.1400000E+2,0.0000000E+0,-2.5552700E-12,7.0765482E+2,6.1400000E+2,0.0000000E+0,-2.3867590E-12,7.0765482E+2,6.1300000E+2,0.0000000E+0,-2.2008250E-12,7.0765482E+2,6.1400000E+2,0.0000000E+0,-1.8521830E-12,7.0765482E+2,6.1300000E+2,0.0000000E+0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V_B,1.6093290E-6,7.0774951E+2,6.1300000E+2,0.0000000E+0,1.6211540E-6,7.0774951E+2,6.1400000E+2,0.0000000E+0,1.3727440E-6,7.0774951E+2,6.1300000E+2,0.0000000E+0,1.3135900E-6,7.0774951E+2,6.1400000E+2,0.0000000E+0,1.7039580E-6,7.0774951E+2,6.1400000E+2,0.0000000E+0,1.8222470E-6,7.0774951E+2,6.1300000E+2,0.0000000E+0,1.7157870E-6,7.0774951E+2,6.1400000E+2,0.0000000E+0,1.6921310E-6,7.0774951E+2,6.1300000E+2,0.0000000E+0,1.2189580E-6,7.0774951E+2,6.1300000E+2,0.0000000E+0,1.4082230E-6,7.0774951E+2,6.1300000E+2,0.0000000E+0,9.7054000E-7,7.0774951E+2,6.1400000E+2,0.0000000E+0,1.5146980E-6,7.0774951E+2,6.1300000E+2,0.0000000E+0,1.5738310E-6,7.0774951E+2,6.1400000E+2,0.0000000E+0,1.4673750E-6,7.0774951E+2,6.1400000E+2,0.0000000E+0,1.5856640E-6,7.0774951E+2,6.1400000E+2,0.0000000E+0,1.6921310E-6,7.0774951E+2,6.1500000E+2,0.0000000E+0,1.2071290E-6,7.0774951E+2,6.1300000E+2,0.0000000E+0,1.6803020E-6,7.0774951E+2,6.1400000E+2,0.0000000E+0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I_B,-2.0231040E-13,7.0784421E+2,6.1400000E+2,0.0000000E+0,4.1403690E-13,7.0784421E+2,6.1300000E+2,0.0000000E+0,-1.0346930E-13,7.0784421E+2,6.1400000E+2,0.0000000E+0,1.7563730E-13,7.0784421E+2,6.1500000E+2,0.0000000E+0,-1.8487640E-13,7.0784421E+2,6.1400000E+2,0.0000000E+0,-5.5118760E-13,7.0784421E+2,6.1400000E+2,0.0000000E+0,-3.2441760E-13,7.0784421E+2,6.1400000E+2,0.0000000E+0,-3.0116530E-13,7.0784421E+2,6.1400000E+2,0.0000000E+0,1.2911370E-13,7.0784421E+2,6.1400000E+2,0.0000000E+0,-5.1630570E-13,7.0784421E+2,6.1400000E+2,0.0000000E+0,3.1518540E-13,7.0784421E+2,6.1400000E+2,0.0000000E+0,3.0263990E-14,7.0784421E+2,6.1300000E+2,0.0000000E+0,-1.2671980E-13,7.0784421E+2,6.1500000E+2,0.0000000E+0,-2.7209310E-13,7.0784421E+2,6.1300000E+2,0.0000000E+0,2.8611310E-13,7.0784421E+2,6.1300000E+2,0.0000000E+0,-1.0432630E-14,7.0784421E+2,6.1400000E+2,0.0000000E+0,-4.4653170E-13,7.0784421E+2,6.1500000E+2,0.0000000E+0,7.0962330E-14,7.0784421E+2,6.1300000E+2,0.0000000E+0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD_V,1.0512639E+1,7.0793890E+2,6.1300000E+2,0.0000000E+0,1.0512639E+1,7.0793890E+2,6.1200000E+2,0.0000000E+0,1.0512639E+1,7.0793890E+2,6.1300000E+2,0.0000000E+0,1.0512639E+1,7.0793890E+2,6.1400000E+2,0.0000000E+0,1.0512639E+1,7.0793890E+2,6.1500000E+2,0.0000000E+0,1.0512639E+1,7.0793890E+2,6.1200000E+2,0.0000000E+0,1.0512639E+1,7.0793890E+2,6.1400000E+2,0.0000000E+0,1.0512639E+1,7.0793890E+2,6.1300000E+2,0.0000000E+0,1.0512639E+1,7.0793890E+2,6.1300000E+2,0.0000000E+0,1.0512639E+1,7.0793890E+2,6.1300000E+2,0.0000000E+0,1.0512639E+1,7.0793890E+2,6.1400000E+2,0.0000000E+0,1.0512639E+1,7.0793890E+2,6.1400000E+2,0.0000000E+0,1.0512639E+1,7.0793890E+2,6.1200000E+2,0.0000000E+0,1.0512639E+1,7.0793890E+2,6.1300000E+2,0.0000000E+0,1.0512639E+1,7.0793890E+2,6.1400000E+2,0.0000000E+0,1.0512639E+1,7.0793890E+2,6.1400000E+2,0.0000000E+0,1.0512639E+1,7.0793890E+2,6.1500000E+2,0.0000000E+0,1.0512639E+1,7.0793890E+2,6.1300000E+2,0.0000000E+0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T,-1.0000000E+0,7.0803360E+2,6.1400000E+2,0.0000000E+0,-1.0000000E+0,7.0803360E+2,6.1300000E+2,0.0000000E+0,-1.0000000E+0,7.0803360E+2,6.1400000E+2,0.0000000E+0,-1.0000000E+0,7.0803360E+2,6.1400000E+2,0.0000000E+0,-1.0000000E+0,7.0803360E+2,6.1300000E+2,0.0000000E+0,-1.0000000E+0,7.0803360E+2,6.1300000E+2,0.0000000E+0,-1.0000000E+0,7.0803360E+2,6.1300000E+2,0.0000000E+0,-1.0000000E+0,7.0803360E+2,6.1400000E+2,0.0000000E+0,-1.0000000E+0,7.0803360E+2,6.1400000E+2,0.0000000E+0,-1.0000000E+0,7.0803360E+2,6.1400000E+2,0.0000000E+0,-1.0000000E+0,7.0803360E+2,6.1400000E+2,0.0000000E+0,-1.0000000E+0,7.0803360E+2,6.1500000E+2,0.0000000E+0,-1.0000000E+0,7.0803360E+2,6.1200000E+2,0.0000000E+0,-1.0000000E+0,7.0803360E+2,6.1300000E+2,0.0000000E+0,-1.0000000E+0,7.0803360E+2,6.1400000E+2,0.0000000E+0,-1.0000000E+0,7.0803360E+2,6.1400000E+2,0.0000000E+0,-1.0000000E+0,7.0803360E+2,6.1400000E+2,0.0000000E+0,-1.0000000E+0,7.0803360E+2,6.1400000E+2,0.0000000E+0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR865_R,-1.0000000E+0,7.0812828E+2,6.1300000E+2,0.0000000E+0,-1.0000000E+0,7.0812828E+2,6.1200000E+2,0.0000000E+0,-1.0000000E+0,7.0812828E+2,6.1300000E+2,0.0000000E+0,-1.0000000E+0,7.0812828E+2,6.1400000E+2,0.0000000E+0,-1.0000000E+0,7.0812828E+2,6.1400000E+2,0.0000000E+0,-1.0000000E+0,7.0812828E+2,6.1300000E+2,0.0000000E+0,-1.0000000E+0,7.0812828E+2,6.1400000E+2,0.0000000E+0,-1.0000000E+0,7.0812828E+2,6.1400000E+2,0.0000000E+0,-1.0000000E+0,7.0812828E+2,6.1300000E+2,0.0000000E+0,-1.0000000E+0,7.0812828E+2,6.1400000E+2,0.0000000E+0,-1.0000000E+0,7.0812828E+2,6.1300000E+2,0.0000000E+0,-1.0000000E+0,7.0812828E+2,6.1400000E+2,0.0000000E+0,-1.0000000E+0,7.0812828E+2,6.1400000E+2,0.0000000E+0,-1.0000000E+0,7.0812828E+2,6.1300000E+2,0.0000000E+0,-1.0000000E+0,7.0812828E+2,6.1300000E+2,0.0000000E+0,-1.0000000E+0,7.0812828E+2,6.1400000E+2,0.0000000E+0,-1.0000000E+0,7.0812828E+2,6.1400000E+2,0.0000000E+0,-1.0000000E+0,7.0812828E+2,6.1400000E+2,0.0000000E+0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
